symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,sum_oi,sum_oi_value,cvd_delta,oi_delta,net_long_delta,net_short_delta
BTCUSDT,1769904000000,2026-02-01 00:00:00,2026-02-01 09:00:00,78706.7,78902.3,78600.2,78892.9,584.698,46044290.6546,27433,355.16,27970571.6498,93551.298,7362636457.75955582,125.622,42.731,105.542,-20.08
BTCUSDT,1769904300000,2026-02-01 00:05:00,2026-02-01 09:05:00,78892.9,79124.9,78860,79124.9,609.012,48088446.0983,25366,377.995,29846695.2806,93560.291,7380887152.72809982,146.978,8.993,82.482,-64.496
BTCUSDT,1769904600000,2026-02-01 00:10:00,2026-02-01 09:10:00,79125,79356.7,79066.6,79305.8,1511.733,119780616.7817,44649,884.529,70083100.9818,93561.561,7400878529.75370026,257.325,1.27,129.9325,-127.3925
BTCUSDT,1769904900000,2026-02-01 00:15:00,2026-02-01 09:15:00,79305.9,79396.8,79145.1,79268,823.014,65236263.6811,36243,433.02,34324807.1642,93445.162,7412489819.29485703,43.026,-116.399,-94.886,-137.912
BTCUSDT,1769905200000,2026-02-01 00:20:00,2026-02-01 09:20:00,79268,79275.2,78933.4,78949.4,663.776,52494018.3321,23858,288.84,22844395.2982,93364.124,7401071927.34347057,-86.096,-81.038,-124.086,-37.99
BTCUSDT,1769905500000,2026-02-01 00:25:00,2026-02-01 09:25:00,78949.4,79116.8,78930.3,79056.9,526.949,41650464.9554,20718,312.864,24728445.4877,93389.531,7373627431.03017235,98.779,25.407,74.7965,-23.9825
BTCUSDT,1769905800000,2026-02-01 00:30:00,2026-02-01 09:30:00,79056.9,79190,78935,78967.3,634.456,50138524.5772,26333,351.703,27792617.1894,93424.86,7386531222.75513268,68.95,35.329,69.804,0.854
BTCUSDT,1769906100000,2026-02-01 00:35:00,2026-02-01 09:35:00,78967.4,79025.2,78734.2,78744.2,545.455,43003135.1588,24830,210.032,16557688.534,93393.854,7374602857.08959961,-125.391,-31.006,-93.7015,31.6895
BTCUSDT,1769906400000,2026-02-01 00:40:00,2026-02-01 09:40:00,78744.2,78851.6,78711.3,78721,459.704,36217762.3281,20188,245.471,19340268.1431,93388.957,7354696986.15091705,31.238,-4.897,10.722,-20.516
BTCUSDT,1769906700000,2026-02-01 00:45:00,2026-02-01 09:45:00,78721.1,78951.8,78707,78919.9,362.42,28576248.3593,19176,210.962,16632927.0066,93447.421,7356307500.8018465,59.504,58.464,88.216,28.712
BTCUSDT,1769907000000,2026-02-01 00:50:00,2026-02-01 09:50:00,78919.9,79077.7,78896.3,78971.6,387.415,30602229.4301,19469,238.271,18820714.3029,93448.516,7374956882.72000027,89.127,1.095,45.6585,-43.4685
BTCUSDT,1769907300000,2026-02-01 00:55:00,2026-02-01 09:55:00,78971.5,79000,78836.6,78861.2,263.066,20761734.2967,14754,117.021,9235506.2189,93428.153,7378951050.03386021,-29.024,-20.363,-34.875,-5.851
BTCUSDT,1769907600000,2026-02-01 01:00:00,2026-02-01 10:00:00,78861.3,78906.3,78650.5,78733.7,386.817,30470568.8059,20480,170.638,13443297.8013,93455.734,7370612652.8089819,-45.541,27.581,4.8105,50.3515
BTCUSDT,1769907900000,2026-02-01 01:05:00,2026-02-01 10:05:00,78733.7,78756.4,78555.6,78605.4,559.798,44020107.2012,25161,245.46,19301521.5587,93431.487,7356197324.86320019,-68.878,-24.247,-58.686,10.192
BTCUSDT,1769908200000,2026-02-01 01:10:00,2026-02-01 10:10:00,78605.4,78683.5,78431.3,78666.8,684.984,53815917.0489,24966,296.426,23291540.5846,93321.735,7336744955.54926968,-92.132,-109.752,-155.818,-63.686
BTCUSDT,1769908500000,2026-02-01 01:15:00,2026-02-01 10:15:00,78666.9,78666.9,78352.2,78375,772.434,60592021.3816,26897,324.524,25455231.3977,93304.996,7340378679.31680012,-123.386,-16.739,-78.432,44.954
BTCUSDT,1769908800000,2026-02-01 01:20:00,2026-02-01 10:20:00,78375,78587.1,78356.5,78586.5,490.371,38483234.8645,19239,329.761,25879129.4858,93231.168,7305678232.53120041,169.151,-73.828,10.7475,-158.4035
BTCUSDT,1769909100000,2026-02-01 01:25:00,2026-02-01 10:25:00,78586.4,78847.1,78546.7,78800.5,532.582,41908261.2594,18263,394.231,31019448.1048,93238.576,7327284028.96640015,255.88,7.408,135.348,-120.532
BTCUSDT,1769909400000,2026-02-01 01:30:00,2026-02-01 10:30:00,78800.4,78837.9,78553.5,78648.2,414.387,32610869.3377,22302,175.44,13808034.0226,93245.643,7351455933.19805622,-63.507,7.067,-24.6865,38.8205
BTCUSDT,1769909700000,2026-02-01 01:35:00,2026-02-01 10:35:00,78648.2,78683.4,78461.6,78463.2,322.454,25334328.2637,16786,137.596,10811118.5712,93270.216,7335525274.98960018,-47.262,24.573,0.942,48.204
BTCUSDT,1769910000000,2026-02-01 01:40:00,2026-02-01 10:40:00,78463.3,78500,78245.7,78310.9,652.61,51146838.6944,24706,273.015,21398892.2816,93276.844,7319498027.16773224,-106.58,6.628,-46.662,59.918
BTCUSDT,1769910300000,2026-02-01 01:45:00,2026-02-01 10:45:00,78311,78450.9,78246.1,78446.2,375.243,29396854.6725,17863,201.886,15816133.1967,93269.757,7304360223.79397964,28.529,-7.087,7.1775,-21.3515
BTCUSDT,1769910600000,2026-02-01 01:50:00,2026-02-01 10:50:00,78446.2,78494.1,78401.5,78450,199.488,15650961.6296,11887,97.934,7683286.1849,93286.633,7317972540.98130035,-3.62,16.876,15.066,18.686
BTCUSDT,1769910900000,2026-02-01 01:55:00,2026-02-01 10:55:00,78450,78521.6,78450,78504.8,169.885,13332128.5497,9189,105.804,8303148.2762,93288.199,7318590455.20207405,41.723,1.566,22.4275,-19.2955
BTCUSDT,1769911200000,2026-02-01 02:00:00,2026-02-01 11:00:00,78504.8,78592.1,78339.6,78359.1,518.56,40689793.1112,17642,195.256,15323195.89,93293.139,7323725843.75179863,-128.048,4.94,-59.084,68.964
