symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,sum_oi,sum_oi_value,cvd_delta,oi_delta,net_long_delta,net_short_delta,top_acc_ls_ratio,top_pos_ls_ratio,global_acc_ls_ratio,taker_ls_vol_ratio
BTCUSDT,1785542400000,2026-08-01 00:00:00,2026-08-01 09:00:00,62859.9,62945.3,62859.8,62928.9,460.103,28944161.5569,8091,295.29,18576817.1638,109489.826,6890085260.35400009,130.477,-9.913,55.3255,-75.1515,2.36265734,1.611983,2.20090658,1.791775
BTCUSDT,1785542700000,2026-08-01 00:05:00,2026-08-01 09:05:00,62928.9,62941.4,62904.1,62922,104.112,6551214.3098,4260,48.084,3025578.4102,109479.913,6889214072.1397543,-7.944,15.648,11.676,19.62,2.36213405,1.612411,2.20111254,0.858165
BTCUSDT,1785543000000,2026-08-01 00:10:00,2026-08-01 09:10:00,62921.9,62945.4,62921.9,62927.2,139.692,8791931.4836,3988,68.217,4293440.7534,109495.561,6890621351.06659985,-3.258,3.591,1.962,5.22,2.36288654,1.613247,2.20237678,0.954498
BTCUSDT,1785543300000,2026-08-01 00:15:00,2026-08-01 09:15:00,62927.2,62941.1,62905.5,62932.4,158.631,9981529.3463,4720,76.89,4838067.9266,109499.152,6891618684.1711092,-4.851,-13.056,-15.4815,-10.6305,2.36254123,1.613754,2.2028312,0.940947
BTCUSDT,1785543600000,2026-08-01 00:20:00,2026-08-01 09:20:00,62932.4,62947.9,62920.6,62942.4,83.255,5239750.1236,2660,44.464,2798378.6687,109486.096,6891306700.26080036,5.673,1.667,4.5035,-1.1695,2.36506027,1.613392,2.20645827,1.146232
BTCUSDT,1785543900000,2026-08-01 00:25:00,2026-08-01 09:25:00,62942.3,62974.4,62942,62942,131.669,8290036.8981,3723,71.801,4520687.3134,109487.763,6891378778.74600029,11.933,51.789,57.7555,45.8225,2.36859934,1.613808,2.20936891,1.199388
BTCUSDT,1785544200000,2026-08-01 00:30:00,2026-08-01 09:30:00,62942,62960.4,62905.2,62955.8,249.917,15727900.0966,5550,152.414,9591884.7257,109539.552,6896321502.43070412,54.911,-22.095,5.3605,-49.5505,2.36550239,1.61086,2.2082652,1.563211
BTCUSDT,1785544500000,2026-08-01 00:35:00,2026-08-01 09:35:00,62955.8,62960.6,62940.9,62960.5,117.355,7387614.5107,3292,77.236,4862068.2749,109517.457,6895284803.19419956,37.117,-4.183,14.3755,-22.7415,2.36485126,1.610741,2.20721457,1.925203
BTCUSDT,1785544800000,2026-08-01 00:40:00,2026-08-01 09:40:00,62960.5,62972.8,62950.2,62971.4,95.736,6028023.764,2605,51.382,3235271.2628,109513.274,6896204182.36359978,7.028,-15.592,-12.078,-19.106,2.36699301,1.611041,2.21028756,1.157663
BTCUSDT,1785545100000,2026-08-01 00:45:00,2026-08-01 09:45:00,62971.3,62995,62970.2,62980,135.757,8550247.2811,3699,91.096,5737368.4399,109497.682,6896174962.12819958,46.435,2.382,25.5995,-20.8355,2.36902197,1.610011,2.21225754,2.041624
BTCUSDT,1785545400000,2026-08-01 00:50:00,2026-08-01 09:50:00,62980,62987.6,62941.6,62941.7,60.575,3813775.2008,2752,25.554,1608977.3588,109500.064,6892109228.26239967,-9.467,-29.473,-34.2065,-24.7395,2.36893937,1.609994,2.21256133,0.729762
BTCUSDT,1785545700000,2026-08-01 00:55:00,2026-08-01 09:55:00,62941.6,62942.5,62902.2,62909.4,196.046,12334930.1737,3904,69.946,4400793.7722,109470.591,6886729197.45540047,-56.154,-10.28,-38.357,17.797,2.36921484,1.610417,2.21219849,0.554666
BTCUSDT,1785546000000,2026-08-01 01:00:00,2026-08-01 10:00:00,62909.4,62929,62909.4,62928.9,77.264,4861561.0436,2930,41.003,2580033.2875,109460.311,6888332767.55152416,4.742,-33.67,-31.299,-36.041,2.37173639,1.609757,2.21587988,1.130836
BTCUSDT,1785546300000,2026-08-01 01:05:00,2026-08-01 10:05:00,62929,62935.1,62922.2,62933.8,141.176,8884219.8347,3136,65.88,4145658.8444,109426.641,6886645282.0298996,-9.416,1.272,-3.436,5.98,2.37218413,1.609519,2.21620516,0.876122
BTCUSDT,1785546600000,2026-08-01 01:10:00,2026-08-01 10:10:00,62933.8,62944,62915,62944,37.266,2345196.6616,1961,20.941,1317836.1324,109427.913,6887425672.59389973,4.616,-3.224,-0.916,-5.532,2.37282396,1.60967,2.21686465,1.282897
BTCUSDT,1785546900000,2026-08-01 01:15:00,2026-08-01 10:15:00,62943.9,62953.3,62919.8,62919.8,136.135,8568762.3819,3106,50.673,3189519.7937,109424.689,6885259755.02511024,-34.789,-12.274,-29.6685,5.1205,2.37448202,1.61035,2.21883036,0.592931
BTCUSDT,1785547200000,2026-08-01 01:20:00,2026-08-01 10:20:00,62919.9,62964.6,62906.6,62911.8,177.929,11197895.4761,4408,52.722,3317866.9795,109412.415,6883331969.99699974,-72.485,-20.062,-56.3045,16.1805,2.37647784,1.609892,2.22099867,0.421054
BTCUSDT,1785547500000,2026-08-01 01:25:00,2026-08-01 10:25:00,62911.9,62939.9,62888.9,62923.9,299.852,18862985.4603,5905,169.85,10684906.2663,109392.353,6883699779.52509975,39.848,-18.636,1.288,-38.56,2.37489849,1.608018,2.21825227,1.332218
BTCUSDT,1785547800000,2026-08-01 01:30:00,2026-08-01 10:30:00,62924,62924,62897.2,62897.2,125.626,7902875.8972,3109,27.892,1754572.8771,109373.717,6879311490.26410007,-69.842,-12.932,-47.853,21.989,2.37511552,1.606977,2.21875365,0.285375
BTCUSDT,1785548100000,2026-08-01 01:35:00,2026-08-01 10:35:00,62897.3,62928.2,62897.2,62928.2,72.115,4536503.5102,1846,41.17,2589874.359,109360.785,6881883612.73069286,10.225,-2.535,2.5775,-7.6475,2.37465704,1.607068,2.21847316,1.330441
BTCUSDT,1785548400000,2026-08-01 01:40:00,2026-08-01 10:40:00,62928.2,62953.5,62928.1,62945,57.889,3643789.8263,2084,32.99,2076470.6793,109358.25,6883559084.58115101,8.091,0.734,4.7795,-3.3115,2.37480751,1.607232,2.21946565,1.325547
BTCUSDT,1785548700000,2026-08-01 01:45:00,2026-08-01 10:45:00,62945.1,62955.2,62936.3,62936.4,47.094,2964318.5681,1835,11.222,706379.4458,109358.984,6882660760.61760044,-24.65,13.792,1.467,26.117,2.3750735,1.606918,2.2201901,0.312759
BTCUSDT,1785549000000,2026-08-01 01:50:00,2026-08-01 10:50:00,62936.4,62945.9,62916.8,62942.6,81.031,5099219.6307,2425,34.925,2197665.1558,109372.776,6884195953.38000011,-11.181,15.201,9.6105,20.7915,2.27032161,1.568383,2.21840512,0.758943
BTCUSDT,1785549300000,2026-08-01 01:55:00,2026-08-01 10:55:00,62942.6,62946.8,62930.9,62946.7,68.511,4311798.7372,2041,49.13,3092021.2497,109387.977,6885612171.82590008,29.749,-2.609,12.2655,-17.4835,2.2699398,1.568404,2.21725171,2.534906
BTCUSDT,1785549600000,2026-08-01 02:00:00,2026-08-01 11:00:00,62946.7,62964.7,62946.7,62964.1,49.223,3098890.9168,2449,36.397,2291362.5657,109385.368,6887351249.28880024,23.571,-2.347,9.4385,-14.1325,2.27138382,1.568858,2.219025,2.837501
BTCUSDT,1785549900000,2026-08-01 02:05:00,2026-08-01 11:05:00,62964,62964.1,62955,62955.1,39.789,2505153.0284,1398,12.508,787510.2452,109383.021,6886269144.97453308,-14.773,-46.817,-54.2035,-39.4305,2.27366476,1.569279,2.22081134,0.458483
BTCUSDT,1785550200000,2026-08-01 02:10:00,2026-08-01 11:10:00,62955.1,63004.8,62955,62992.2,198.031,12474015.9608,4569,132.725,8360215.664,109336.204,6886805783.64611244,67.419,-8.033,25.6765,-41.7425,2.2718535,1.571261,2.2210838,2.032237
